,score,time,samples,id,channels,n_sessions,dataset,pipeline
60,0.6464129686355591,0.965308666229248,200.0,25,2,1,GigaDb Motor Imagery,CSP+LDA
61,0.6160489916801453,0.9358599185943604,200.0,26,2,1,GigaDb Motor Imagery,CSP+LDA
62,0.49601826071739197,0.880450963973999,200.0,27,2,1,GigaDb Motor Imagery,CSP+LDA
63,0.5473728179931641,0.8044562339782715,200.0,28,2,1,GigaDb Motor Imagery,CSP+LDA
64,0.5840688347816467,0.928879976272583,200.0,29,2,1,GigaDb Motor Imagery,CSP+LDA
65,0.537093460559845,0.7467825412750244,200.0,30,2,1,GigaDb Motor Imagery,CSP+LDA
66,0.6436553001403809,0.8961167335510254,200.0,31,2,1,GigaDb Motor Imagery,CSP+LDA
67,0.5055106282234192,0.9479670524597168,200.0,33,2,1,GigaDb Motor Imagery,CSP+LDA
68,0.4732455313205719,0.8982172012329102,200.0,34,2,1,GigaDb Motor Imagery,CSP+LDA
69,0.7085884809494019,0.8445639610290527,200.0,35,2,1,GigaDb Motor Imagery,CSP+LDA
70,0.5389896035194397,0.884089469909668,200.0,36,2,1,GigaDb Motor Imagery,CSP+LDA
71,0.5872499942779541,0.9763011932373047,200.0,37,2,1,GigaDb Motor Imagery,CSP+LDA
72,0.3833598792552948,0.8997278213500977,200.0,38,2,1,GigaDb Motor Imagery,CSP+LDA
73,0.6505653262138367,0.8493216037750244,200.0,39,2,1,GigaDb Motor Imagery,CSP+LDA
74,0.5327894687652588,0.9778707027435303,200.0,40,2,1,GigaDb Motor Imagery,CSP+LDA
75,0.6597536206245422,0.8516557216644287,200.0,41,2,1,GigaDb Motor Imagery,CSP+LDA
76,0.6152330040931702,0.8125028610229492,200.0,42,2,1,GigaDb Motor Imagery,CSP+LDA
77,0.9319289326667786,0.9051103591918945,200.0,43,2,1,GigaDb Motor Imagery,CSP+LDA
78,0.5194442868232727,0.9498376846313477,200.0,44,2,1,GigaDb Motor Imagery,CSP+LDA
79,0.5991507768630981,0.7642076015472412,200.0,45,2,1,GigaDb Motor Imagery,CSP+LDA
80,0.7248815894126892,0.8706181049346924,200.0,47,2,1,GigaDb Motor Imagery,CSP+LDA
81,0.5400887131690979,0.9013419151306152,200.0,48,2,1,GigaDb Motor Imagery,CSP+LDA
82,0.6037213802337646,0.7618200778961182,200.0,50,2,1,GigaDb Motor Imagery,CSP+LDA
83,0.6074377298355103,0.8515069484710693,200.0,51,2,1,GigaDb Motor Imagery,CSP+LDA
84,0.5262845158576965,0.8742334842681885,200.0,52,2,1,GigaDb Motor Imagery,CSP+LDA
85,0.7744444608688354,0.6719210147857666,44.0,1,2,1,Physionet Motor Imagery,CSP+LDA
86,0.378888875246048,0.6447536945343018,44.0,2,2,1,Physionet Motor Imagery,CSP+LDA
87,0.3266666531562805,0.651958703994751,44.0,3,2,1,Physionet Motor Imagery,CSP+LDA
88,0.7933333516120911,0.5637021064758301,44.0,4,2,1,Physionet Motor Imagery,CSP+LDA
89,0.386944442987442,0.5956239700317383,42.0,5,2,1,Physionet Motor Imagery,CSP+LDA
90,0.47138887643814087,0.5530104637145996,42.0,6,2,1,Physionet Motor Imagery,CSP+LDA
91,0.8733333349227905,0.5424544811248779,44.0,7,2,1,Physionet Motor Imagery,CSP+LDA
92,0.5588889122009277,0.6381499767303467,44.0,8,2,1,Physionet Motor Imagery,CSP+LDA
93,0.5211111307144165,0.5649011135101318,42.0,9,2,1,Physionet Motor Imagery,CSP+LDA
94,0.8847222328186035,0.5512745380401611,42.0,10,2,1,Physionet Motor Imagery,CSP+LDA
95,0.2522222101688385,0.5441393852233887,44.0,11,2,1,Physionet Motor Imagery,CSP+LDA
96,0.554444432258606,0.559685468673706,42.0,12,2,1,Physionet Motor Imagery,CSP+LDA
97,0.5555555820465088,0.5922269821166992,44.0,13,2,1,Physionet Motor Imagery,CSP+LDA
98,0.44111111760139465,0.6841695308685303,44.0,14,2,1,Physionet Motor Imagery,CSP+LDA
99,0.6322222352027893,0.5397095680236816,44.0,15,2,1,Physionet Motor Imagery,CSP+LDA
100,0.5233333110809326,0.5746126174926758,44.0,16,2,1,Physionet Motor Imagery,CSP+LDA
101,0.3933333456516266,0.6758575439453125,44.0,17,2,1,Physionet Motor Imagery,CSP+LDA
102,0.6066666841506958,0.5812292098999023,44.0,18,2,1,Physionet Motor Imagery,CSP+LDA
103,0.5177778005599976,0.6604409217834473,44.0,19,2,1,Physionet Motor Imagery,CSP+LDA
104,0.5222222208976746,0.6999549865722656,44.0,20,2,1,Physionet Motor Imagery,CSP+LDA
105,0.7391666769981384,0.5488936901092529,42.0,21,2,1,Physionet Motor Imagery,CSP+LDA
106,0.5333333611488342,0.6050710678100586,44.0,22,2,1,Physionet Motor Imagery,CSP+LDA
107,0.5866666436195374,0.5839736461639404,44.0,23,2,1,Physionet Motor Imagery,CSP+LDA
